timeStep;Mean;Sum;
0;100.00;409600.00;
1;99.56;407800.00;
2;99.00;405518.00;
3;98.60;403853.00;
4;98.20;402208.00;
5;97.87;400866.00;
6;97.64;399929.00;
7;97.25;398325.00;
8;96.91;396923.00;
9;96.56;395524.00;
10;96.18;393956.00;
11;95.97;393086.00;
12;95.62;391641.00;
13;95.46;390992.00;
14;95.21;389967.00;
15;94.91;388734.00;
16;94.73;388001.00;
17;94.58;387399.00;
18;94.43;386784.00;
19;94.28;386177.00;
20;94.13;385575.00;
21;93.88;384533.00;
22;93.75;384010.00;
23;93.53;383114.00;
24;93.32;382257.00;
25;93.14;381507.00;
26;92.94;380674.00;
27;92.85;380307.00;
28;92.68;379602.00;
29;92.54;379059.00;
30;92.25;377865.00;
31;92.04;376989.00;
32;91.85;376212.00;
33;91.66;375449.00;
34;91.57;375084.00;
35;91.44;374541.00;
36;91.31;373999.00;
37;91.14;373325.00;
38;90.99;372697.00;
39;90.85;372136.00;
40;90.77;371780.00;
41;90.66;371339.00;
42;90.60;371090.00;
43;90.45;370499.00;
44;90.28;369775.00;
45;90.13;369192.00;
46;89.94;368374.00;
47;89.77;367683.00;
48;89.59;366948.00;
49;89.41;366218.00;
50;89.23;365472.00;
